                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.00226,                0.82781,                0.99338,                0.65259,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.00225,                0.83444,                0.98675,                0.65309,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.00227,                0.84106,                0.98675,                0.65264,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.00225,                0.82781,                0.98675,                0.65196,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.00223,                0.82781,                0.98675,                0.65167,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                 0.0022,                0.82781,                0.98675,                 0.6518,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.00221,                0.82119,                0.98675,                0.65178,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.00218,                0.82119,                0.98675,                0.65166,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.00218,                0.81457,                0.98675,                 0.6519,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.00212,                0.81457,                0.98675,                0.65186,             2.1277e-05,             2.1277e-05,             2.1277e-05
